location,Wrocław,Wrocław,Wrocław,Wrocław
20200606T1000,17.404629,0.0,20.156818,225.53546
20200606T1100,18.76463,0.0,19.971117,223.91908
20200606T1200,20.064629,0.0,19.476372,220.00626
20200606T1300,21.33463,0.0,16.689913,208.61046
20200606T1400,20.394629,0.2,21.6883,207.8241
20200606T1500,20.43463,0.3,22.07265,209.65912
20200606T1600,20.734629,0.3,21.131414,213.69006
20200606T1700,21.75463,0.2,19.346582,218.29016
20200606T1800,21.034628,0.3,14.712421,227.93567
20200606T1900,20.564629,0.3,12.622413,224.1449
20200606T2000,20.34463,0.0,7.348971,226.46881
20200606T2100,20.00463,0.0,3.0374272,195.25513
20200606T2200,19.054628,0.0,6.874978,125.537674
20200606T2300,18.01463,0.1,9.486234,128.15723
20200607T0000,17.324629,0.5,9.486234,128.15723
20200607T0100,17.17463,0.5,9.448753,139.57391
20200607T0200,16.51463,0.1,8.867559,147.26477
20200607T0300,15.86463,0.0,8.275568,146.82149
20200607T0400,15.65463,0.0,10.971024,150.94539
20200607T0500,15.27463,0.0,9.914233,149.30028
20200607T0600,15.81463,0.0,9.418661,151.26021
20200607T0700,17.064629,0.1,10.144211,156.8014
20200607T0800,18.164629,0.1,10.010403,154.79887
20200607T0900,18.134628,0.5,8.150272,168.69006
20200607T1000,18.42463,0.1,5.694981,169.2157
20200607T1100,19.50463,0.0,2.9784427,153.43495
20200607T1200,20.864628,0.0,4.652476,113.62937
20200607T1300,21.27463,0.1,6.415762,131.63353
20200607T1400,16.904629,0.0,11.115618,315.971
20200607T1500,17.464628,0.0,8.955161,22.750961
20200607T1600,18.52463,0.4,8.154626,38.367477
20200607T1700,19.58463,0.9,5.7198505,27.75853
20200607T1800,19.234629,1.0,4.652476,23.629364
20200607T1900,18.25463,1.7,4.713097,47.29059
20200607T2000,17.664629,1.1,7.3150935,33.111343
20200607T2100,17.09463,0.5,7.996438,1.9091492
20200607T2200,16.374628,1.4,8.172013,340.9744
20200607T2300,15.3546295,2.2,9.946393,352.30396
