Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-08-05,5171.5,5171.5,5171.5,5171.5
2015-08-06,5165,5165,5165,5165
2015-08-07,5135.5,5135.5,5135.5,5135.5
2015-08-10,5150,5150,5150,5150
2015-08-11,5140,5140,5140,5140
2015-08-12,5103,5103,5103,5103
2015-08-13,5148,5148,5148,5148
2015-08-14,5156,5156,5156,5156
2015-08-17,5101,5101,5101,5101
2015-08-18,5000.5,5000.5,5000.5,5000.5
2015-08-19,5006.5,5006.5,5006.5,5006.5
2015-08-20,5060.5,5060.5,5060.5,5060.5
2015-08-21,5046,5046,5046,5046
2015-08-24,4888,4888,4888,4888
2015-08-25,5032,5032,5032,5032
2015-08-26,4959,4959,4959,4959
2015-08-27,5029,5029,5029,5029
2015-08-28,5095,5095,5095,5095
2015-09-01,5095,5095,5095,5095
2015-09-02,5090.5,5090.5,5090.5,5090.5
2015-09-03,5250,5250,5250,5250
2015-09-04,5155.5,5155.5,5155.5,5155.5
2015-09-07,5176,5176,5176,5176
2015-09-08,5280,5280,5280,5280
2015-09-09,5366,5366,5366,5366
2015-09-10,5400,5400,5400,5400
2015-09-11,5352,5352,5352,5352
2015-09-14,5324,5324,5324,5324
2015-09-15,5290,5290,5290,5290
2015-09-16,5350,5350,5350,5350
2015-09-17,5369,5369,5369,5369
2015-09-18,5358,5358,5358,5358
2015-09-21,5267,5267,5267,5267
2015-09-22,5131,5131,5131,5131
2015-09-23,5112,5112,5112,5112
2015-09-24,5046,5046,5046,5046
2015-09-25,5098,5098,5098,5098
2015-09-28,4965,4965,4965,4965
2015-09-29,5010,5010,5010,5010
2015-09-30,5093,5093,5093,5093
2015-10-01,5178,5178,5178,5178
2015-10-02,5081,5081,5081,5081
2015-10-05,5144.5,5144.5,5144.5,5144.5
2015-10-06,5175,5175,5175,5175
2015-10-07,5241,5241,5241,5241
2015-10-08,5160,5160,5160,5160
2015-10-09,5319,5319,5319,5319
2015-10-12,5335,5335,5335,5335
2015-10-13,5260.5,5260.5,5260.5,5260.5
2015-10-14,5278,5278,5278,5278
2015-10-15,5344,5344,5344,5344
2015-10-16,5270,5270,5270,5270
2015-10-19,5240,5240,5240,5240
2015-10-20,5189,5189,5189,5189
2015-10-21,5185.5,5185.5,5185.5,5185.5
2015-10-22,5274,5274,5274,5274
2015-10-23,5295,5295,5295,5295
2015-10-26,5233,5233,5233,5233
2015-10-27,5219.5,5219.5,5219.5,5219.5
2015-10-28,5179,5179,5179,5179
2015-10-29,5161,5161,5161,5161
2015-10-30,5135.5,5135.5,5135.5,5135.5
2015-11-02,5137.5,5137.5,5137.5,5137.5
2015-11-03,5149,5149,5149,5149
2015-11-04,5165.5,5165.5,5165.5,5165.5
2015-11-05,5053,5053,5053,5053
2015-11-06,5000,5000,5000,5000
2015-11-09,4990,4990,4990,4990
2015-11-10,4933.5,4933.5,4933.5,4933.5
2015-11-11,4931,4931,4931,4931
2015-11-12,4872.5,4872.5,4872.5,4872.5
2015-11-13,4825,4825,4825,4825
2015-11-16,4765,4765,4765,4765
2015-11-17,4700,4700,4700,4700
2015-11-18,4669,4669,4669,4669
2015-11-19,4610,4610,4610,4610
2015-11-20,4690,4690,4690,4690
2015-11-23,4515.5,4515.5,4515.5,4515.5
2015-11-24,4527,4527,4527,4527
2015-11-25,4541,4541,4541,4541
2015-11-26,4667,4667,4667,4667
2015-11-27,4636,4636,4636,4636
2015-11-30,4595.5,4595.5,4595.5,4595.5
2015-12-01,4619,4619,4619,4619
2015-12-02,4589,4589,4589,4589
2015-12-03,4525,4525,4525,4525
2015-12-04,4637,4637,4637,4637
2015-12-07,4592.5,4592.5,4592.5,4592.5
2015-12-08,4567.5,4567.5,4567.5,4567.5
2015-12-09,4620,4620,4620,4620
2015-12-10,4572,4572,4572,4572
2015-12-11,4667,4667,4667,4667
2015-12-14,4640,4640,4640,4640
2015-12-15,4586,4586,4586,4586
2015-12-16,4583,4583,4583,4583
2015-12-17,4550,4550,4550,4550
2015-12-18,4650,4650,4650,4650
2015-12-21,4691,4691,4691,4691
2015-12-22,4672.5,4672.5,4672.5,4672.5
2015-12-23,4680,4680,4680,4680
2015-12-24,4665.5,4665.5,4665.5,4665.5
2015-12-29,4685,4685,4685,4685
2015-12-30,4715,4715,4715,4715
2015-12-31,4702,4702,4702,4702
2016-01-04,4645,4645,4645,4645
2016-01-05,4647,4647,4647,4647
2016-01-06,4600,4600,4600,4600
2016-01-07,4514,4514,4514,4514
2016-01-08,4486.5,4486.5,4486.5,4486.5
2016-01-11,4402.5,4402.5,4402.5,4402.5
2016-01-12,4355,4355,4355,4355
2016-01-13,4380,4380,4380,4380
2016-01-14,4365.5,4365.5,4365.5,4365.5
2016-01-15,4310.5,4310.5,4310.5,4310.5
2016-01-18,4360,4360,4360,4360
2016-01-19,4440.5,4440.5,4440.5,4440.5
2016-01-20,4347,4347,4347,4347
2016-01-21,4376,4376,4376,4376
2016-01-22,4468,4468,4468,4468
2016-01-25,4454,4454,4454,4454
2016-01-26,4501,4501,4501,4501
2016-01-27,4507.5,4507.5,4507.5,4507.5
2016-01-28,4553.5,4553.5,4553.5,4553.5
2016-01-29,4541.5,4541.5,4541.5,4541.5
2016-02-01,4534,4534,4534,4534
2016-02-02,4605.5,4605.5,4605.5,4605.5
2016-02-03,4578.5,4578.5,4578.5,4578.5
2016-02-04,4685,4685,4685,4685
2016-02-05,4669,4669,4669,4669
2016-02-08,4572.5,4572.5,4572.5,4572.5
2016-02-09,4530.5,4530.5,4530.5,4530.5
2016-02-10,4507,4507,4507,4507
2016-02-11,4474,4474,4474,4474
2016-02-12,4488.5,4488.5,4488.5,4488.5
2016-02-15,4562,4562,4562,4562
2016-02-16,4583.5,4583.5,4583.5,4583.5
2016-02-17,4562,4562,4562,4562
2016-02-18,4577,4577,4577,4577
2016-02-19,4590,4590,4590,4590
2016-02-22,4696,4696,4696,4696
2016-02-23,4663.5,4663.5,4663.5,4663.5
2016-02-24,4585.5,4585.5,4585.5,4585.5
2016-02-25,4655,4655,4655,4655
2016-02-26,4681,4681,4681,4681
2016-02-29,4705,4705,4705,4705
2016-03-01,4726,4726,4726,4726
2016-03-02,4780,4780,4780,4780
2016-03-03,4830,4830,4830,4830
2016-03-04,4918,4918,4918,4918
2016-03-07,5000,5000,5000,5000
2016-03-08,4980.5,4980.5,4980.5,4980.5
2016-03-09,4935.5,4935.5,4935.5,4935.5
2016-03-10,4920.5,4920.5,4920.5,4920.5
2016-03-11,4941,4941,4941,4941
2016-03-14,4994,4994,4994,4994
2016-03-15,4920,4920,4920,4920
2016-03-16,4945,4945,4945,4945
2016-03-17,5029,5029,5029,5029
2016-03-18,5103,5103,5103,5103
2016-03-21,5079.5,5079.5,5079.5,5079.5
2016-03-22,5070,5070,5070,5070
2016-03-23,5060.5,5060.5,5060.5,5060.5
2016-03-24,4931,4931,4931,4931
2016-03-29,4939.5,4939.5,4939.5,4939.5
2016-03-30,4940,4940,4940,4940
2016-03-31,4855.5,4855.5,4855.5,4855.5
2016-04-01,4880,4880,4880,4880
2016-04-04,4816,4816,4816,4816
2016-04-05,4776,4776,4776,4776
2016-04-06,4775,4775,4775,4775
2016-04-07,4715,4715,4715,4715
2016-04-08,4654,4654,4654,4654
2016-04-11,4645,4645,4645,4645
2016-04-12,4715.5,4715.5,4715.5,4715.5
2016-04-13,4838,4838,4838,4838
2016-04-14,4830.5,4830.5,4830.5,4830.5
2016-04-15,4813.5,4813.5,4813.5,4813.5
2016-04-18,4798,4798,4798,4798
2016-04-19,4812,4812,4812,4812
2016-04-20,4938.5,4938.5,4938.5,4938.5
2016-04-21,5025.5,5025.5,5025.5,5025.5
2016-04-22,5015.5,5015.5,5015.5,5015.5
2016-04-25,5000.5,5000.5,5000.5,5000.5
2016-04-26,4935.5,4935.5,4935.5,4935.5
2016-04-27,4932,4932,4932,4932
2016-04-28,4912.5,4912.5,4912.5,4912.5
2016-04-29,5045,5045,5045,5045
2016-05-03,4960,4960,4960,4960
2016-05-04,4892,4892,4892,4892
2016-05-05,4826,4826,4826,4826
2016-05-06,4810,4810,4810,4810
2016-05-09,4739.5,4739.5,4739.5,4739.5
2016-05-10,4710,4710,4710,4710
2016-05-11,4748,4748,4748,4748
2016-05-12,4744,4744,4744,4744
2016-05-13,4660,4660,4660,4660
2016-05-16,4640.5,4640.5,4640.5,4640.5
2016-05-17,4634,4634,4634,4634
2016-05-18,4600.5,4600.5,4600.5,4600.5
2016-05-19,4596,4596,4596,4596
2016-05-20,4630.5,4630.5,4630.5,4630.5
2016-05-23,4572,4572,4572,4572
2016-05-24,4637,4637,4637,4637
2016-05-25,4636,4636,4636,4636
2016-05-26,4705.5,4705.5,4705.5,4705.5
2016-05-27,4725.5,4725.5,4725.5,4725.5
2016-05-30,4725.5,4725.5,4725.5,4725.5
2016-05-31,4700,4700,4700,4700
2016-06-01,4601,4601,4601,4601
2016-06-02,4600,4600,4600,4600
2016-06-03,4688,4688,4688,4688
2016-06-06,4706,4706,4706,4706
2016-06-07,4589,4589,4589,4589
2016-06-08,4590.5,4590.5,4590.5,4590.5
2016-06-09,4546,4546,4546,4546
2016-06-10,4504,4504,4504,4504
2016-06-13,4515,4515,4515,4515
2016-06-14,4510.5,4510.5,4510.5,4510.5
2016-06-15,4632,4632,4632,4632
2016-06-16,4524.5,4524.5,4524.5,4524.5
2016-06-17,4521.5,4521.5,4521.5,4521.5
2016-06-20,4585,4585,4585,4585
2016-06-21,4587,4587,4587,4587
2016-06-22,4687.5,4687.5,4687.5,4687.5
2016-06-23,4747,4747,4747,4747
2016-06-24,4663,4663,4663,4663
2016-06-27,4692,4692,4692,4692
2016-06-28,4777.5,4777.5,4777.5,4777.5
2016-06-29,4780,4780,4780,4780
2016-06-30,4827,4827,4827,4827
2016-07-01,4783.5,4783.5,4783.5,4783.5
2016-07-04,4920,4920,4920,4920
2016-07-05,4840.5,4840.5,4840.5,4840.5
2016-07-06,4706,4706,4706,4706
2016-07-07,4725,4725,4725,4725
2016-07-08,4710,4710,4710,4710
2016-07-11,4746,4746,4746,4746
2016-07-12,4811.5,4811.5,4811.5,4811.5
2016-07-13,4918.5,4918.5,4918.5,4918.5
2016-07-14,4911.5,4911.5,4911.5,4911.5
2016-07-15,4945.5,4945.5,4945.5,4945.5
2016-07-18,4839,4839,4839,4839
2016-07-19,4938,4938,4938,4938
2016-07-20,4900.5,4900.5,4900.5,4900.5
2016-07-21,4953.5,4953.5,4953.5,4953.5
2016-07-22,4956,4956,4956,4956
2016-07-25,4920,4920,4920,4920
2016-07-26,4862,4862,4862,4862
2016-07-27,4869.5,4869.5,4869.5,4869.5
2016-07-28,4862,4862,4862,4862
2016-07-29,4853,4853,4853,4853
2016-08-01,4907,4907,4907,4907
2016-08-02,4885.5,4885.5,4885.5,4885.5
2016-08-03,4844.5,4844.5,4844.5,4844.5
2016-08-04,4787,4787,4787,4787
2016-08-05,4792.5,4792.5,4792.5,4792.5
2016-08-08,4796,4796,4796,4796
2016-08-09,4779,4779,4779,4779
2016-08-10,4874.5,4874.5,4874.5,4874.5
2016-08-11,4810,4810,4810,4810
2016-08-12,4746,4746,4746,4746
2016-08-15,4746,4746,4746,4746
2016-08-16,4798,4798,4798,4798
2016-08-17,4755.5,4755.5,4755.5,4755.5
2016-08-18,4802.5,4802.5,4802.5,4802.5
2016-08-19,4774,4774,4774,4774
2016-08-22,4732,4732,4732,4732
2016-08-23,4719,4719,4719,4719
2016-08-24,4658.5,4658.5,4658.5,4658.5
2016-08-25,4639.5,4639.5,4639.5,4639.5
2016-08-26,4622,4622,4622,4622
2016-08-30,4609,4609,4609,4609
2016-08-31,4602.5,4602.5,4602.5,4602.5
2016-09-01,4620,4620,4620,4620
2016-09-02,4607,4607,4607,4607
2016-09-05,4603,4603,4603,4603
2016-09-06,4623,4623,4623,4623
2016-09-07,4643,4643,4643,4643
2016-09-08,4617.5,4617.5,4617.5,4617.5
2016-09-09,4622.5,4622.5,4622.5,4622.5
2016-09-12,4573,4573,4573,4573
2016-09-13,4641.5,4641.5,4641.5,4641.5
2016-09-14,4694.5,4694.5,4694.5,4694.5
2016-09-15,4727,4727,4727,4727
2016-09-16,4733.5,4733.5,4733.5,4733.5
2016-09-19,4731.5,4731.5,4731.5,4731.5
2016-09-20,4732.5,4732.5,4732.5,4732.5
2016-09-21,4733,4733,4733,4733
2016-09-22,4815.5,4815.5,4815.5,4815.5
2016-09-23,4815,4815,4815,4815
2016-09-26,4794,4794,4794,4794
2016-09-27,4775,4775,4775,4775
2016-09-28,4807.5,4807.5,4807.5,4807.5
2016-09-29,4816.5,4816.5,4816.5,4816.5
2016-09-30,4832,4832,4832,4832
2016-10-03,4807,4807,4807,4807
2016-10-04,4790.5,4790.5,4790.5,4790.5
2016-10-05,4777.5,4777.5,4777.5,4777.5
2016-10-06,4742,4742,4742,4742
2016-10-07,4742,4742,4742,4742
2016-10-10,4786,4786,4786,4786
2016-10-11,4801.5,4801.5,4801.5,4801.5
2016-10-12,4805,4805,4805,4805
2016-10-13,4754.5,4754.5,4754.5,4754.5
2016-10-14,4672.5,4672.5,4672.5,4672.5
2016-10-17,4671.5,4671.5,4671.5,4671.5
2016-10-18,4665.5,4665.5,4665.5,4665.5
2016-10-19,4642.5,4642.5,4642.5,4642.5
2016-10-20,4633.5,4633.5,4633.5,4633.5
2016-10-21,4637,4637,4637,4637
2016-10-24,4620.5,4620.5,4620.5,4620.5
2016-10-25,4720,4720,4720,4720
2016-10-26,4717.5,4717.5,4717.5,4717.5
2016-10-27,4774,4774,4774,4774
2016-10-28,4787,4787,4787,4787
2016-10-31,4827.5,4827.5,4827.5,4827.5
2016-11-01,4862.5,4862.5,4862.5,4862.5
2016-11-02,4871,4871,4871,4871
2016-11-03,4918,4918,4918,4918
2016-11-04,4943,4943,4943,4943
2016-11-07,5032,5032,5032,5032
2016-11-08,5044,5044,5044,5044
2016-11-09,5335,5335,5335,5335
2016-11-10,5619,5619,5619,5619
2016-11-11,5900,5900,5900,5900
2016-11-14,5620,5620,5620,5620
2016-11-15,5448,5448,5448,5448
2016-11-16,5459,5459,5459,5459
2016-11-17,5426,5426,5426,5426
2016-11-18,5446,5446,5446,5446
2016-11-21,5535.5,5535.5,5535.5,5535.5
2016-11-22,5618,5618,5618,5618
2016-11-23,5564,5564,5564,5564
2016-11-24,5834.5,5834.5,5834.5,5834.5
2016-11-25,5822.5,5822.5,5822.5,5822.5
2016-11-28,5935.5,5935.5,5935.5,5935.5
2016-11-29,5778,5778,5778,5778
2016-11-30,5740,5740,5740,5740
2016-12-01,5773,5773,5773,5773
2016-12-02,5736,5736,5736,5736
2016-12-05,5851.5,5851.5,5851.5,5851.5
2016-12-06,5856,5856,5856,5856
2016-12-07,5903.5,5903.5,5903.5,5903.5
2016-12-08,5838,5838,5838,5838
2016-12-09,5824,5824,5824,5824
2016-12-12,5757,5757,5757,5757
2016-12-13,5765.5,5765.5,5765.5,5765.5
2016-12-14,5735,5735,5735,5735
2016-12-15,5682.5,5682.5,5682.5,5682.5
2016-12-16,5649,5649,5649,5649
2016-12-19,5561,5561,5561,5561
2016-12-20,5485.5,5485.5,5485.5,5485.5
2016-12-21,5498.5,5498.5,5498.5,5498.5
2016-12-22,5426,5426,5426,5426
2016-12-23,5482,5482,5482,5482
2016-12-26,5482,5482,5482,5482
2016-12-28,5486,5486,5486,5486
2016-12-29,5514,5514,5514,5514
2016-12-30,5501,5501,5501,5501
2017-01-03,5574,5574,5574,5574
2017-01-04,5500.5,5500.5,5500.5,5500.5
2017-01-05,5611,5611,5611,5611
2017-01-06,5546.5,5546.5,5546.5,5546.5
2017-01-09,5551.5,5551.5,5551.5,5551.5
2017-01-10,5642,5642,5642,5642
2017-01-11,5709.5,5709.5,5709.5,5709.5
2017-01-12,5752.5,5752.5,5752.5,5752.5
2017-01-13,5797,5797,5797,5797
2017-01-16,5857,5857,5857,5857
2017-01-17,5771.5,5771.5,5771.5,5771.5
2017-01-18,5721,5721,5721,5721
2017-01-19,5710,5710,5710,5710
2017-01-20,5706,5706,5706,5706
2017-01-23,5775,5775,5775,5775
2017-01-24,5879,5879,5879,5879
2017-01-25,5867,5867,5867,5867
2017-01-26,5890,5890,5890,5890
2017-01-27,5847,5847,5847,5847
2017-01-30,5857,5857,5857,5857
2017-01-31,5921,5921,5921,5921
2017-02-01,5931,5931,5931,5931
2017-02-02,5903,5903,5903,5903
2017-02-03,5836,5836,5836,5836
2017-02-06,5786,5786,5786,5786
2017-02-07,5802,5802,5802,5802
2017-02-08,5865,5865,5865,5865
2017-02-09,5863,5863,5863,5863
2017-02-10,5872,5872,5872,5872
2017-02-13,6111,6111,6111,6111
2017-02-14,6145,6145,6145,6145
2017-02-15,6016,6016,6016,6016
2017-02-16,6015,6015,6015,6015
2017-02-17,5939,5939,5939,5939
2017-02-20,6002,6002,6002,6002
2017-02-21,6034,6034,6034,6034
2017-02-22,5976,5976,5976,5976
2017-02-23,5991,5991,5991,5991
2017-02-24,5881,5881,5881,5881
2017-02-27,5927,5927,5927,5927
2017-02-28,5936,5936,5936,5936
2017-03-01,6040,6040,6040,6040
2017-03-02,5994,5994,5994,5994
2017-03-03,5910,5910,5910,5910
2017-03-06,5856,5856,5856,5856
2017-03-07,5807,5807,5807,5807
2017-03-08,5782,5782,5782,5782
2017-03-09,5655,5655,5655,5655
2017-03-10,5714.5,5714.5,5714.5,5714.5
2017-03-13,5794,5794,5794,5794
2017-03-14,5747,5747,5747,5747
2017-03-15,5850,5850,5850,5850
2017-03-16,5911,5911,5911,5911
2017-03-17,5889,5889,5889,5889
2017-03-20,5891,5891,5891,5891
2017-03-21,5765.5,5765.5,5765.5,5765.5
2017-03-22,5712,5712,5712,5712
2017-03-23,5790.5,5790.5,5790.5,5790.5
2017-03-24,5782.5,5782.5,5782.5,5782.5
2017-03-27,5673.5,5673.5,5673.5,5673.5
2017-03-28,5774.5,5774.5,5774.5,5774.5
2017-03-29,5847,5847,5847,5847
2017-03-30,5860,5860,5860,5860
2017-03-31,5849,5849,5849,5849
2017-04-03,5817,5817,5817,5817
2017-04-04,5724.5,5724.5,5724.5,5724.5
2017-04-05,5808.5,5808.5,5808.5,5808.5
2017-04-06,5870.5,5870.5,5870.5,5870.5
2017-04-07,5770,5770,5770,5770
2017-04-10,5731,5731,5731,5731
2017-04-11,5746,5746,5746,5746
2017-04-12,5685,5685,5685,5685
2017-04-13,5655,5655,5655,5655
2017-04-18,5620.5,5620.5,5620.5,5620.5
2017-04-19,5600.5,5600.5,5600.5,5600.5
2017-04-20,5611.5,5611.5,5611.5,5611.5
2017-04-21,5601,5601,5601,5601
2017-04-24,5612,5612,5612,5612
2017-04-25,5652.5,5652.5,5652.5,5652.5
2017-04-26,5677.5,5677.5,5677.5,5677.5
2017-04-27,5686.5,5686.5,5686.5,5686.5
2017-04-28,5688.5,5688.5,5688.5,5688.5
2017-05-02,5746.5,5746.5,5746.5,5746.5
2017-05-03,5636.5,5636.5,5636.5,5636.5
2017-05-04,5543,5543,5543,5543
2017-05-05,5530.5,5530.5,5530.5,5530.5
2017-05-08,5466,5466,5466,5466
2017-05-09,5496,5496,5496,5496
2017-05-10,5512,5512,5512,5512
2017-05-11,5580.5,5580.5,5580.5,5580.5
2017-05-12,5520,5520,5520,5520
2017-05-15,5586,5586,5586,5586
2017-05-16,5584,5584,5584,5584
2017-05-17,5575,5575,5575,5575
2017-05-18,5490,5490,5490,5490
2017-05-19,5596,5596,5596,5596
2017-05-22,5677,5677,5677,5677
2017-05-23,5660.5,5660.5,5660.5,5660.5
2017-05-24,5662.5,5662.5,5662.5,5662.5
2017-05-25,5665,5665,5665,5665
2017-05-26,5671,5671,5671,5671
2017-05-30,5608,5608,5608,5608
2017-05-31,5615.5,5615.5,5615.5,5615.5
2017-06-01,5636.5,5636.5,5636.5,5636.5
2017-06-02,5559.5,5559.5,5559.5,5559.5
2017-06-05,5586.5,5586.5,5586.5,5586.5
2017-06-06,5540.5,5540.5,5540.5,5540.5
2017-06-07,5575.5,5575.5,5575.5,5575.5
2017-06-08,5647.5,5647.5,5647.5,5647.5
2017-06-09,5739,5739,5739,5739
2017-06-12,5752,5752,5752,5752
2017-06-13,5659,5659,5659,5659
2017-06-14,5684.5,5684.5,5684.5,5684.5
2017-06-15,5637,5637,5637,5637
2017-06-16,5655.5,5655.5,5655.5,5655.5
2017-06-19,5687,5687,5687,5687
2017-06-20,5673.5,5673.5,5673.5,5673.5
2017-06-21,5650,5650,5650,5650
2017-06-22,5736,5736,5736,5736
2017-06-23,5774,5774,5774,5774
2017-06-26,5771,5771,5771,5771
2017-06-27,5789,5789,5789,5789
2017-06-28,5822,5822,5822,5822
2017-06-29,5905.5,5905.5,5905.5,5905.5
2017-06-30,5907.5,5907.5,5907.5,5907.5
2017-07-03,5894,5894,5894,5894
2017-07-04,5847,5847,5847,5847
2017-07-05,5818,5818,5818,5818
2017-07-06,5828.5,5828.5,5828.5,5828.5
2017-07-07,5809,5809,5809,5809
2017-07-10,5780,5780,5780,5780
2017-07-11,5795,5795,5795,5795
2017-07-12,5882.5,5882.5,5882.5,5882.5
2017-07-13,5902,5902,5902,5902
2017-07-14,5858,5858,5858,5858
2017-07-17,5965.5,5965.5,5965.5,5965.5
